x,y_do_x_1,y_do_x_2,y_do_x_3
-2.1524196,0.017489694,-0.07352518,-0.2602729
-2.134543,0.018520182,-0.07474519,-0.25859675
-2.116666,0.019560916,-0.07595174,-0.256911
-2.0987895,0.020611947,-0.07714474,-0.25521573
-2.0809126,0.021673538,-0.07832409,-0.25351062
-2.0630357,0.022745807,-0.079489686,-0.25179565
-2.045159,0.0238289,-0.08064143,-0.25007066
-2.0272822,0.024923058,-0.081779234,-0.24833545
-2.0094056,0.026028384,-0.082903005,-0.24658994
-1.9915287,0.027145099,-0.08401268,-0.24483396
-1.973652,0.028273359,-0.08510814,-0.24306734
-1.9557753,0.029413337,-0.08618934,-0.24128997
-1.9378985,0.030565199,-0.08725617,-0.23950166
-1.9200218,0.031729143,-0.08830857,-0.2377023
-1.902145,0.032905284,-0.08934647,-0.23589173
-1.8842683,0.0340939,-0.09036979,-0.23406972
-1.8663915,0.035295125,-0.091378465,-0.23223618
-1.8485148,0.036509126,-0.09237244,-0.23039089
-1.8306379,0.037736107,-0.09335163,-0.22853374
-1.8127612,0.038976237,-0.094316,-0.22666456
-1.7948844,0.040229693,-0.09526546,-0.22478315
-1.7770077,0.041496675,-0.0962,-0.22288938
-1.759131,0.042777337,-0.097119555,-0.22098303
-1.7412542,0.044071905,-0.09802406,-0.21906397
-1.7233775,0.045380525,-0.09891348,-0.21713199
-1.7055007,0.04670343,-0.09978777,-0.21518694
-1.687624,0.048040736,-0.1006469,-0.21322864
-1.6697471,0.0493927,-0.101490825,-0.21125689
-1.6518704,0.05075947,-0.10231951,-0.20927155
-1.6339936,0.052141212,-0.103132926,-0.20727241
-1.6161169,0.053538155,-0.103931054,-0.20525932
-1.5982401,0.054950453,-0.10471383,-0.2032321
-1.5803634,0.056378298,-0.10548126,-0.20119055
-1.5624866,0.057821862,-0.10623335,-0.19913447
-1.5446099,0.05928137,-0.106970035,-0.19706371
-1.5267332,0.06075696,-0.10769132,-0.19497812
-1.5088563,0.06224884,-0.10839721,-0.19287744
-1.4909796,0.06375718,-0.10908763,-0.19076154
-1.4731028,0.06528214,-0.109762646,-0.18863027
-1.4552261,0.066823944,-0.11042223,-0.18648337
-1.4373493,0.06838274,-0.11106636,-0.18432072
-1.4194726,0.0699587,-0.111695044,-0.18214214
-1.4015958,0.07155201,-0.112308316,-0.17994742
-1.3837191,0.073162846,-0.11290613,-0.17773643
-1.3658423,0.074791394,-0.1134885,-0.17550892
-1.3479655,0.07643779,-0.11405549,-0.17326482
-1.3300887,0.07810223,-0.11460703,-0.17100388
-1.312212,0.07978485,-0.11514319,-0.16872598
-1.2943352,0.08148583,-0.11566399,-0.16643094
